time,value
2024-04-24T11:46:46.460763343Z,"'merhaba "
2024-04-24T11:47:30.577612Z,"'merhaba "
2024-04-24T11:48:05.603734001Z,"'deneme "
2024-04-24T11:48:08.179889208Z,"'deneme "
2024-04-24T11:51:13.927981385Z,"'deneme 1"
2024-04-24T11:53:36.521627982Z,"'selam ashdbnjsakmdsa"
2024-04-24T11:58:41.816589716Z,"'selam"
2024-04-24T12:01:37.670686853Z,"'deneme "
2024-04-24T12:06:34.866651526Z,"'selam "
2024-04-24T12:07:12.595784787Z,"'deneme eeee"
2024-04-24T12:08:25.068341409Z,"'heyyo "
2024-04-24T12:08:44.678270494Z,"'deneme "
2024-04-24T12:09:15.203702644Z,"'deneme "
2024-04-24T12:14:38.153338273Z,"'deneme 2"
2024-04-24T12:15:25.376775324Z,"'deneme 2"
2024-04-24T12:17:51.321889483Z,"'0000 sade "
2024-04-24T12:25:40.33449742Z,"'000 deneme "
2024-04-24T12:26:48.38402655Z,"'0asadas"
2024-04-24T12:27:00.021063317Z,"'merhaba dostlar "
2024-04-24T12:27:45.95173453Z,"'dfghjkljhgfdsa"
2024-04-24T12:28:00.102989183Z,"'merhaba dostlar "
2024-04-24T12:28:13.910644364Z,"'dfghjkljhgfdsa"
2024-04-24T12:36:05.306537857Z,"'dfghjkljhgfdsa"
2024-04-24T12:44:13.39938363Z,"'deneme 2"
2024-04-24T12:48:50.628086804Z,"'deneeee"
2024-04-24T12:50:20.413156534Z,"'kjhfx"
2024-04-24T12:53:43.989703241Z,"'hgfds"
2024-04-24T12:54:39.502190677Z,"'hgfds"
2024-04-24T12:55:05.455321713Z,"'fds"
2024-04-24T12:55:20.318679962Z,"'fds"
2024-04-24T13:06:52.526611043Z,"'selam"
2024-04-25T10:55:03.980141708Z,"'deneme 1"
2024-04-25T10:56:55.797326567Z,"'merhaba "
2024-04-25T10:57:25.488893809Z,"'merhaba "
2024-04-25T11:01:21.738534384Z,"'selan"
2024-04-25T11:02:10.130322734Z,"'deneme 3qwjndkqmdöa"
2024-04-25T11:03:39.9170148Z,"'deneme 3qwjndkqmdöa"
2024-04-25T11:10:27.249577684Z,"'artık ol"
2024-04-25T11:11:25.7424317Z,"'gel mesaj"
2024-04-25T11:12:12.975708473Z,"'gel mesaj"
2024-04-25T11:22:59.06411118Z,"'nedennnnn"
2024-04-25T11:23:51.614058835Z,"'mesajla led yak"
2024-04-25T11:23:54.642637205Z,"'led yak "
2024-04-25T11:24:07.496237744Z,"'led yak "
