time,value
2024-04-24T11:41:40.559962626Z,60
2024-04-24T11:46:59.169988617Z,70
2024-04-24T11:47:30.577612Z,0
2024-04-24T11:54:37.26038083Z,96
2024-04-24T12:09:12.69761085Z,53
2024-04-24T12:09:15.203702644Z,76
2024-04-24T12:10:05.473335118Z,100
2024-04-24T12:13:36.334058419Z,47.5
2024-04-24T12:15:25.376775324Z,76
2024-04-24T12:15:58.287914464Z,0
2024-04-24T12:19:38.638941353Z,66
2024-04-24T12:27:57.386598719Z,39.5
2024-04-24T12:28:00.102989183Z,0
2024-04-24T12:28:11.244046769Z,71
2024-04-24T12:36:05.306537857Z,0
2024-04-24T12:43:37.016854127Z,42.5
2024-04-24T12:54:09.759844157Z,24.5
2024-04-24T12:54:39.502190677Z,0
2024-04-24T12:54:47.287890633Z,56.5
2024-04-24T12:55:16.427969084Z,29
2024-04-24T12:55:16.577800272Z,29
2024-04-24T12:55:16.721311215Z,29
2024-04-25T10:55:01.022094959Z,53
2024-04-25T10:57:02.11899798Z,42.5
2024-04-25T10:57:25.488893809Z,0
2024-04-25T11:03:39.9170148Z,0
2024-04-25T11:12:12.975708473Z,0
2024-04-25T11:24:07.496237744Z,67.5
2024-04-25T11:24:15.976137753Z,84
