class,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,sulphates,alcohol,quality
1,7.4,0.7,0,1.9,0.076,11,0.56,9.4,5
1,7.8,0.88,0,2.6,0.098,25,0.68,9.8,5
1,7.8,0.76,0.04,2.3,0.092,15,0.65,9.8,5
1,11.2,0.28,0.56,1.9,0.075,17,0.58,9.8,6
1,7.4,0.7,0,1.9,0.076,11,0.56,9.4,5
1,7.4,0.66,0,1.8,,,0.56,9.4,5
1,7.9,0.6,0.06,1.6,,,0.46,9.4,5
1,7.3,0.65,0,1.2,0.065,15,0.47,10,7
1,7.8,0.58,0.02,2,0.073,9,0.57,9.5,7
1,7.5,0.5,0.36,6.1,0.071,17,0.8,10.5,5
1,6.7,0.58,0.08,1.8,0.097,15,0.54,9.2,5
1,7.5,0.5,0.36,6.1,0.071,17,0.8,10.5,5
1,5.6,0.615,0,1.6,0.089,16,0.52,9.9,5
1,7.8,,,1.6,0.114,9,1.56,9.1,5
1,8.9,0.62,0.18,3.8,0.176,52,0.88,9.2,5
1,8.9,0.62,0.19,3.9,0.17,51,0.93,9.2,5
1,8.5,0.28,0.56,1.8,0.092,35,0.75,10.5,7
1,8.1,0.56,0.28,1.7,0.368,16,1.28,9.3,5
1,7.4,0.59,0.08,4.4,0.086,6,0.5,9,4
1,7.9,0.32,0.51,1.8,0.341,17,1.08,9.2,6
1,8.9,0.22,0.48,1.8,0.077,29,0.53,9.4,6
1,7.6,0.39,0.31,2.3,0.082,23,0.65,9.7,5
1,7.9,0.43,0.21,1.6,0.106,10,0.91,9.5,5
1,8.5,0.49,0.11,2.3,0.084,9,0.53,9.4,5
1,6.9,0.4,0.14,2.4,0.085,21,0.63,9.7,6
1,6.3,0.39,0.16,1.4,0.08,11,0.56,9.3,5
1,7.6,0.41,0.24,1.8,0.08,4,0.59,9.5,5
1,7.9,0.43,0.21,1.6,0.106,10,0.91,9.5,5
1,7.1,0.71,0,1.9,0.08,14,0.55,9.4,5
1,7.8,,,,0.082,8,0.59,9.8,6
1,6.7,,,,0.089,17,0.54,10.1,5
1,6.9,,,,0.105,22,0.57,10.6,6
1,8.3,0.655,0.12,2.3,0.083,15,0.66,9.8,5
1,6.9,0.605,0.12,10.7,0.073,40,0.52,9.4,6
1,5.2,0.32,0.25,1.8,0.103,,0.55,9.2,5
1,7.8,0.645,0,5.5,0.086,,0.55,9.6,6
1,7.8,0.6,0.14,2.4,0.086,,0.6,10.8,6
1,8.1,0.38,0.28,2.1,0.066,,0.73,9.7,7
1,5.7,1.13,0.09,1.5,0.172,7,0.48,9.8,4
1,7.3,0.45,0.36,5.9,0.074,12,0.83,10.5,5
1,7.3,0.45,0.36,5.9,0.074,12,0.83,10.5,5
1,8.8,0.61,0.3,2.8,0.088,17,0.51,9.3,4
1,7.5,0.49,0.2,2.6,0.332,8,0.9,10.5,6
1,8.1,0.66,0.22,2.2,0.069,9,1.2,10.3,5
1,6.8,0.67,0.02,1.8,0.05,5,0.52,9.5,5
1,4.6,0.52,0.15,2.1,0.054,8,0.56,13.1,4
1,7.7,0.935,0.43,2.2,0.114,22,0.73,9.2,5
1,8.7,0.29,0.52,1.6,0.113,12,0.58,9.5,5
1,6.4,,,1.6,0.066,5,0.56,9.2,5
1,5.6,,,1.4,0.074,12,0.58,9.2,5
1,8.8,0.66,0.26,1.7,0.074,4,,,5
1,6.6,0.52,0.04,2.2,0.069,8,,,6
1,6.6,0.5,0.04,2.1,0.068,6,,,6
1,8.6,0.38,0.36,3,0.081,30,,,5
1,7.6,0.51,0.15,2.8,0.11,33,0.63,10.2,6
1,7.7,0.62,0.04,3.8,0.084,25,0.53,9.5,5
1,10.2,0.42,0.57,3.4,0.07,4,0.63,9.6,5
1,7.5,0.63,0.12,5.1,0.111,50,0.77,9.4,5
1,7.8,0.59,0.18,2.3,0.076,17,0.59,10,5
2,7.3,0.39,0.31,2.4,0.074,9,0.54,9.4,6
2,8.8,0.4,0.4,2.2,0.079,19,0.64,9.2,5
2,7.7,0.69,0.49,1.8,0.115,20,0.71,9.3,5
2,7.5,0.52,0.16,1.9,0.085,12,0.62,9.5,7
2,7,0.735,0.05,2,0.081,13,0.57,9.8,5
2,7.2,0.725,0.05,4.65,,,0.39,10.9,5
2,7.2,0.725,0.05,4.65,,,0.39,10.9,5
2,7.5,0.52,0.11,1.5,0.079,11,0.58,9.6,5
2,6.6,0.705,0.07,1.6,0.076,6,0.58,10.7,5
1,7.8,0.76,0.04,2.3,0.092,15,0.65,9.8,5
1,11.2,0.28,0.56,1.9,0.075,17,0.58,9.8,6
1,7.4,0.7,0,1.9,0.076,11,0.56,9.4,5
1,7.4,0.66,0,1.8,,,0.56,9.4,5
1,7.9,0.6,0.06,1.6,,,0.46,9.4,5
1,7.3,0.65,0,1.2,0.065,15,0.47,10,7
1,7.8,0.58,0.02,2,0.073,9,0.57,9.5,7
1,7.5,0.5,0.36,6.1,0.071,17,0.8,10.5,5
1,6.7,0.58,0.08,1.8,0.097,15,0.54,9.2,5
1,7.5,0.5,0.36,6.1,0.071,17,0.8,10.5,5
1,5.6,0.615,0,1.6,0.089,16,0.52,9.9,5
1,7.8,,,1.6,0.114,9,1.56,9.1,5
1,8.9,0.62,0.18,3.8,0.176,52,0.88,9.2,5
2,7.7,0.69,0.49,1.8,0.115,20,0.71,9.3,5
2,7.5,0.52,0.16,1.9,0.085,12,0.62,9.5,7
2,7,0.735,0.05,2,0.081,13,0.57,9.8,5
2,7.2,0.725,0.05,4.65,,,0.39,10.9,5
